,Class,Precision,Recall,F1-Score,Support
5,B-,0.14173228346456693,0.16216216216216217,0.15126050420168066,111.0
0,A+,0.11392405063291139,0.21428571428571427,0.1487603305785124,84.0
3,AB-,0.1232876712328767,0.15789473684210525,0.13846153846153847,114.0
1,A-,0.1504424778761062,0.11258278145695365,0.12878787878787878,151.0
7,O-,0.11235955056179775,0.09433962264150944,0.10256410256410256,106.0
6,O+,0.08904109589041095,0.10236220472440945,0.09523809523809523,127.0
2,AB+,0.08771929824561403,0.04716981132075472,0.06134969325153374,106.0
4,B+,0.03333333333333333,0.020618556701030927,0.025477707006369428,97.0
