Blood Group,AUC
B-,0.537384518276238
O+,0.53183907928284
B+,0.5108769983097428
A-,0.510636028267923
AB+,0.49725340339144974
O-,0.4860281824695486
A+,0.47605119634060516
AB-,0.46464306546417194
