Blood Group,AUC
A-,0.5244277523445486
AB+,0.5241342249820874
B+,0.5215927125401597
O-,0.5082696441366134
A+,0.5046768707482994
B-,0.5044012165031273
AB-,0.49001660160631755
O+,0.46103437330411723
