Blood Group,AUC
B+,0.5418757983561927
AB-,0.5197424507560461
O+,0.5121693988511514
A+,0.508972554539057
A-,0.5081070269789768
B-,0.4948241234865439
AB+,0.4834368282780034
O-,0.4629806544064963
