Blood Group,AUC
B+,0.5584558017109015
B-,0.5444769610374707
A+,0.5384925521932911
O-,0.530200620969668
A-,0.5009689319525312
AB-,0.4846771660609325
O+,0.4771407800292844
AB+,0.47602101743491765
