,Class,Precision,Recall,F1-Score,Support
1,A-,0.20958083832335328,0.23178807947019867,0.22012578616352202,151.0
0,A+,0.1262135922330097,0.15476190476190477,0.13903743315508021,84.0
3,AB-,0.14736842105263157,0.12280701754385964,0.1339712918660287,114.0
5,B-,0.11363636363636363,0.13513513513513514,0.12345679012345678,111.0
6,O+,0.1079136690647482,0.11811023622047244,0.11278195488721804,127.0
2,AB+,0.10526315789473684,0.11320754716981132,0.10909090909090909,106.0
7,O-,0.075,0.05660377358490566,0.06451612903225806,106.0
4,B+,0.07575757575757576,0.05154639175257732,0.06134969325153374,97.0
