,Class,Precision,Recall,F1-Score,Support
1,A-,0.20348837209302326,0.23178807947019867,0.21671826625386997,151.0
6,O+,0.1506849315068493,0.1732283464566929,0.16117216117216118,127.0
4,B+,0.14432989690721648,0.14432989690721648,0.14432989690721648,97.0
0,A+,0.1375,0.13095238095238096,0.13414634146341464,84.0
2,AB+,0.14130434782608695,0.12264150943396226,0.13131313131313133,106.0
3,AB-,0.13725490196078433,0.12280701754385964,0.12962962962962962,114.0
5,B-,0.10317460317460317,0.11711711711711711,0.10970464135021098,111.0
7,O-,0.12345679012345678,0.09433962264150944,0.10695187165775401,106.0
