Blood Group,AUC
B-,0.5511849429046881
AB-,0.5230403374164311
B+,0.5167477387972078
AB+,0.5147360878910915
O-,0.4934917602101743
A-,0.4874172185430463
O+,0.477366044459007
A+,0.4767769176636172
