Blood Group,AUC
AB-,0.5217166958316507
B-,0.5106558788087451
B+,0.5096963988490768
O+,0.49454757687148665
A+,0.4844226483696927
O-,0.480021495103893
A-,0.4797946575403351
AB+,0.4754358729400525
