,Class,Precision,Recall,F1-Score,Support
1,A-,0.17218543046357615,0.17218543046357615,0.17218543046357615,151.0
5,B-,0.1592920353982301,0.16216216216216217,0.16071428571428573,111.0
6,O+,0.1357142857142857,0.14960629921259844,0.14232209737827714,127.0
0,A+,0.12244897959183673,0.14285714285714285,0.13186813186813187,84.0
2,AB+,0.1326530612244898,0.12264150943396226,0.12745098039215685,106.0
7,O-,0.1188118811881188,0.11320754716981132,0.11594202898550725,106.0
3,AB-,0.11607142857142858,0.11403508771929824,0.11504424778761062,114.0
4,B+,0.12048192771084337,0.10309278350515463,0.1111111111111111,97.0
