,Class,Precision,Recall,F1-Score,Support
6,O+,0.1640625,0.33070866141732286,0.2193211488250653,127.0
4,B+,0.18421052631578946,0.14432989690721648,0.16184971098265896,97.0
1,A-,0.14534883720930233,0.16556291390728478,0.15479876160990713,151.0
0,A+,0.10810810810810811,0.19047619047619047,0.13793103448275862,84.0
5,B-,0.1103448275862069,0.14414414414414414,0.125,111.0
3,AB-,0.3157894736842105,0.05263157894736842,0.09022556390977443,114.0
2,AB+,0.061224489795918366,0.02830188679245283,0.03870967741935484,106.0
7,O-,0.06451612903225806,0.018867924528301886,0.029197080291970802,106.0
