Blood Group,AUC
AB+,0.5460771435395271
AB-,0.5172746444115404
A+,0.49891508327468925
B-,0.47843002237906695
O+,0.4682325957629809
A-,0.46535401573403257
B+,0.4581112989174613
O-,0.44970742775256745
