Blood Group,AUC
O-,0.5811320754716982
B-,0.5631089688414529
B+,0.5073481026540908
AB+,0.4909481729161691
A+,0.4856981585737743
A-,0.4838881728076804
AB-,0.47826086956521746
O+,0.4735467884459826
