,Class,Precision,Recall,F1-Score,Support
6,O+,0.1671388101983003,0.4645669291338583,0.24583333333333332,127.0
3,AB-,0.1172069825436409,0.41228070175438597,0.1825242718446602,114.0
1,A-,0.189873417721519,0.09933774834437085,0.13043478260869565,151.0
5,B-,0.07317073170731707,0.02702702702702703,0.039473684210526314,111.0
7,O-,0.06666666666666667,0.009433962264150943,0.01652892561983471,106.0
0,A+,0.0,0.0,0.0,84.0
2,AB+,0.0,0.0,0.0,106.0
4,B+,0.0,0.0,0.0,97.0
